#separator:tab
#html:true
#tags column:8
Spanish	English	Swedish	Tag	Example ES	Example EN	Comment	Tag
El lobo	The wolf	Vargen ✓	Noun	El lobo aúlla en la noche.	The wolf howls at night.	The word lobo is derived from the Latin lupus, which is still used in scientific terms for wolves today.	Noun
La lubina	The bass	Aborren ✓	Noun	La lubina es un pez muy sabroso.	The bass is a very tasty fish.	The word lubina comes from the Latin lupina, which means wolf, possibly referring to the fishs predatory nature.	Noun
La tortuga	The turtle	Sköldpaddan ✓	Noun	La tortuga nada en el océano.	The turtle swims in the ocean.	The word tortuga comes from the Latin tortuca, which means twisted, possibly referring to the tortoises shape.	Noun
El conejo	The rabbit	Kaninen ✓	Noun	El conejo salta en el jardín.	The rabbit jumps in the garden.	The word conejo comes from the Latin cuniculus, which originally referred to a rabbit or a small animal in burrows.	Noun
El ñu	Gnu	Gnuen ✓	Noun	El ñu corre rápidamente por la llanura.	The gnu runs quickly across the plain.	The word gnu is derived from the Khoisan languages of southern Africa, where it was used to describe this animal.	Noun
El león	The lion	Lejonet ✓	Noun	El león es el rey de la selva.	The lion is the king of the jungle.	The word león comes from the Latin word leo, which is linked to the Indo-European root lewk-, meaning to shine or light.	Noun
La cebra	The zebra	Zebran ✓	Noun	La cebra come hierba.	The zebra eats grass.	The word cebra derives from the Latin cebra, and it refers specifically to the animal known for its distinctive black and white stripes.	Noun
El pato	The duck	Ankan ✓	Noun	El pato nada en el lago.	The duck swims in the lake.	The word pato comes from the Latin pâtum, which means to paddle, reflecting the birds swimming behavior.	Noun
La oveja	The sheep	Fåret ✓	Noun	La oveja es blanca.	The sheep is white.	La oveja refers to a domesticated animal commonly found in many cultures, often symbolizing peace and gentleness.	Noun
El águila	The eagle	Örnen ✓	Noun	El águila vuela alto en el cielo.	The eagle flies high in the sky.	The word águila is feminine in Spanish, but it takes the masculine article el when used in the singular form due to the stress on the first syllable.	Noun
La cabra	The goat	Geten ✓	Noun	La cabra está comiendo hierba.	The goat is eating grass.	The word cabra originates from the Latin capra, which is also related to the word capricornus, meaning horned goat.	Noun
El jabalí	The wild boar	Vildsvinet ✓	Noun	El jabalí corre rápido por el bosque.	The wild boar runs fast through the forest.	The word jabalí comes from the Arabic xabal, reflecting the animals historical significance in Iberian culture.	Noun
El pulpo	The octopus	Bläckfisken ✓	Noun	El pulpo nada en el océano.	The octopus swims in the ocean.	El pulpo comes from the Latin word polypus, meaning many feet, referring to its numerous tentacles.	Noun
El zorro	The fox	Räven ✓	Noun	El zorro es astuto.	The fox is cunning.	The word zorro comes from the Latin vulpes, which refers to a fox, reflecting its clever reputation in both folklore and culture.	Noun
El halcón	The falcon	Falken ✓	Noun	El halcón vuela alto en el cielo.	The falcon flies high in the sky.	The word halcón comes from the Latin falco, which is related to the verb falcare, meaning to cut, reflecting the birds swift flying ability.	Noun
El castor	Beaver	Bävern ✓	Noun	El castor construye represas en los ríos.	The beaver builds dams in the rivers.	El castor comes from the Latin word castor, which refers to the animal known for its industrious nature and ability to modify its environment.	Noun
El erizo	Hedgehog	Igelkotten ✓	Noun	El erizo es un animal nocturno.	The hedgehog is a nocturnal animal.	The word erizo comes from the Latin ericius, which means hedgehog and is related to the word for spines in Latin.	Noun
Medir	To measure ✓	Att mäta	Verb	Yo voy a medir la longitud de la mesa.	I am going to measure the length of the table.	The verb medir comes from the Latin metiri, highlighting its long-standing use in Spanish for quantitative assessments.	Verb
Los dedos (de pies)	The toes	Fingrarna / tårna ✓	Noun	Los dedos de pies son importantes para el equilibrio.	The toes are important for balance.	The word dedos comes from the Latin digitus, meaning finger or toe.	Noun
Los pies	The feet	Fötterna ✓	Noun	Los pies son importantes para caminar.	The feet are important for walking.	Los pies comes from Latin pes, pedis, meaning foot, demonstrating the long history of the word in Romance languages.	Noun
Los dientes	The teeth	Tänderna ✓	Noun	Los dientes son importantes para la alimentación.	The teeth are important for eating.	The word dientes comes from the Latin densus, meaning thick or dense, reflecting their strong structure in the mouth.	Noun
La piel	The skin	Huden ✓	Noun	La piel es muy importante para la salud.	The skin is very important for health.	The word piel comes from the Latin pelle, which also means skin and is used in various Romance languages.	Noun
Los pulmones	The lungs	Lungorna ✓	Noun	Los pulmones son órganos vitales para la respiración.	The lungs are vital organs for breathing.	The word pulmones comes from the Latin pulmones, which means of the air or air-filled.	Noun
La oreja	The ear	Örat ✓	Noun	La oreja duele cuando hace frío.	The ear hurts when its cold.	The word oreja comes from the Latin auricula, which refers specifically to the outer ear.	Noun
El codo	The elbow	Armbågen ✓	Noun	El codo duele después de hacer ejercicio.	The elbow hurts after exercising.	The word codo comes from the Latin cubitus, which means funny bone.	Noun
La rodilla	The knee	Knäet ✓	Noun	Me duele la rodilla.	My knee hurts.	The word rodilla comes from the Latin rodīlla, which is a diminutive form of rodus, meaning to kneel.	Noun
Las cejas	The eyebrows	Ögonbrynen ✓	Noun	Las cejas son muy importantes para la expresión facial.	The eyebrows are very important for facial expression.	The word ceja comes from the Latin supercilia, which means eyebrow and also relates to supercilious, describing a person who raises their eyebrows in disdain.	Noun
La frente	Forehead	Pannan (kroppen) ✓	Noun	La frente está en la parte superior de la cara.	The forehead is at the top of the face.	The word frente comes from the Latin frons, meaning forehead or front, reflecting its position on the head.	Noun
Los nudillos	The knuckles	Knogarna ✓	Noun	Los nudillos son importantes para el movimiento de la mano.	The knuckles are important for hand movement.	The word nudillos comes from the Latin nux, meaning nut, referring to the rounded shape of the joints.	Noun
La cintura	The waist	Midjan ✓	Noun	La cintura es una parte importante del cuerpo.	The waist is an important part of the body.	The word cintura comes from the Latin cinctura, meaning girding or belt, which reflects its association with that part of the body.	Noun
La cadera	The hip	Höften ✓	Noun	La cadera duele después de hacer ejercicio.	The hip hurts after exercising.	The word cadera comes from the Latin capitia, which means hip or hip joint.	Noun
El muslo	The thigh	Låret ✓	Noun	El muslo está cansado después de la carrera.	The thigh is tired after the run.	The word muslo originates from the Latin musculum, meaning small muscle, highlighting its connection to the muscles in the upper leg.	Noun
El músculo	The muscle	Muskeln ✓	Noun	El músculo está creciendo	The muscle is growing	The word músculo comes from Latin musculus, which means little mouse, referring to the way muscles twitch under the skin.	Noun
El nervio	The nerve	Nerven ✓	Noun	El nervio está dañado.	The nerve is damaged.	The word nervio comes from Latin nervus, which means sinew, tendon, evolving to mean nerve in modern languages.	Noun
El esqueleto	The skeleton	Sklettet ✓	Noun	El esqueleto está en el aula.	The skeleton is in the classroom.	The word esqueleto comes from the Greek skeletos, meaning dried up or dried body.	Noun
La vena	The vein	Blodådern ✓	Noun	La vena transporta sangre por todo el cuerpo.	The vein transports blood throughout the body.	The word vena comes from the Latin vena, which means vein and is related to terms in many Romance languages.	Noun
El antebrazo	The forearm	Underarmen ✓	Noun	El antebrazo es una parte importante del cuerpo.	The forearm is an important part of the body.	Fun fact: The word antebrazo comes from the Latin antebracium, which means before the arm.	Noun
El hígado	The liver	Levern ✓	Noun	El hígado es un órgano vital del cuerpo humano.	The liver is a vital organ of the human body.	The word hígado comes from the Latin iecur, reflecting its importance in ancient medicine.	Noun
Los riñones	The kidneys	Njurarna ✓	Noun	Los riñones son esenciales para la filtración de sangre.	The kidneys are essential for filtering blood.	The word riñones comes from the Latin renes, meaning kidneys.	Noun
El estómago	The stomach	Magen/magsäcken ✓	Noun	El estómago duele después de comer demasiado.	The stomach hurts after eating too much.	The word estómago comes from the Latin stomachus, which is derived from the Greek stomachos.	Noun
El cerebro	The brain	Hjärnan ✓	Noun	El cerebro es un órgano muy importante.	The brain is a very important organ.	The word cerebro comes from the Latin cerebrum, which also means brain and is related to the word cerebral.	Noun
La ampolla	The blister	Blåsan (på huden) ✓	Noun	La ampolla es dolorosa.	The blister is painful.	The word ampolla comes from the Latin ampulla, which means little bottle, reflecting the blisters shape.	Noun
Cumplir	To accomplish ✓	Att uppfylla	Verb	Yo quiero cumplir mis metas.	I want to accomplish my goals.	The verb cumplir originates from the Latin complere, which means to fill up or complete, reflecting its essence of achieving or fulfilling tasks.	Verb
Estoy jodido	"I&#x27;m fucked ✓"	Jag är fucked	Phrase	Hoy tengo un examen y no estudié, estoy jodido.	Today I have an exam and I didnt study, Im fucked.	The phrase jodido comes from the verb joder, which means to screw or to mess up in Spanish, making it quite colloquial and emphasized in various contexts.	Phrase
Experimentar	To experiment	Uppleva/experimentera ✓	Verb	Voy a experimentar nuevas recetas.	I am going to experiment with new recipes.	The word experimentar comes from the Latin experimentare, which means to try or test something, emphasizing the idea of testing and learning through experience.	Verb
